,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,atr_pct,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,macd_ls_signal,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,range_pct,close_below_1/2,strong_rejection,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
2603,396.8,402.15,392.85,399.25,6.6032,NSE:AFCONS-EQ,2025-07-31,416.12849044948695,426.28011863534607,446.23803699618486,0.9761855462122944,0.9552751744445993,1.0422754926724782,1.0677022382851498,1.1176907626704693,26.354453627180916,10.228571428571424,0.02561946506843187,0.46950156726153175,-0.025040691123080692,2.3293675641828315,0.6881720430107536,-0.6385376236384153,-1.2116063475306087,-3.9797401460486097,-5.613690289971456,1.720868255870334,3.6211829295618068,0,2.4499999999999886,9.299999999999955,2.8999999999999773,3.9499999999999886,1,0,0.26344085993178407,0.31182795665394747,0.42473118233899954,0,0,0,0.023293675641828316,False,0,0.05711174694834118,398.0,6,0.31308703819661865,407.05,2,1.9536631183469033,,,,
2727,1950.0,1987.9,1901.0,1958.0,2.57872,NSE:AFFLE-EQ,2025-07-31,1924.1293470367086,1873.951237221907,1678.8871152027814,1.0267766358153425,1.1161865620700562,0.9827014029809543,0.9570741763135378,0.857450007764444,46.2739174219537,66.42857142857147,0.0339267474098935,0.7832934019911847,-1.275651691625067,4.438202247191016,0.6559263521288831,-1.6790198154590812,2.8429762484198937,-2.1067220050889732,-4.933427504374616,8.3198655756738,12.004930199991929,1,8.0,86.90000000000009,29.90000000000009,49.0,1,0,0.09205983888468808,0.3440736478315227,0.5638665131687145,1,0,0,0.04438202247191016,False,0,0.5884453537497656,1907.8,18,2.5638406537282963,1985.0,15,1.3789581205311543,,,,
2848,455.0,466.4,446.6,456.85,2.92061,NSE:AGARWALEYE-EQ,2025-07-31,438.43602441105054,418.2183949385207,404.9974568115109,1.0483422769471962,1.0326444966620196,0.9596936071162319,0.9154391921604919,0.8864998507420617,74.06504065040653,15.607142857142852,0.03416251035819821,0.6481748456645182,0.3735032406898925,4.334026485717402,0.5176767676767688,-0.032956168296161104,-0.8944841350186564,-5.521571523248296,-8.170325135541818,4.209166817848724,7.633526278663987,0,1.8500000000000227,19.799999999999955,9.549999999999955,8.399999999999977,1,0,0.09343434338715573,0.4823232320796335,0.4242424240281602,1,0,0,0.04334026485717402,False,0,0.8547008695382127,413.35,8,9.521724854985223,463.05,10,1.3571194046185813,,,,
2972,953.0,977.0,933.2,962.8,1.77475,NSE:AGI-EQ,2025-07-31,898.9658329098199,856.6303604567349,806.6002472599782,1.049420933937612,1.062025908579509,0.9336994525444744,0.8897282514091556,0.8377651093269405,74.7186147186147,44.72142857142857,0.04644934417472847,0.46943805507297287,0.8431526577638078,4.549231408392185,0.6757990867579895,-0.1832940560356114,0.7457220389114828,-1.4137656473733777,-2.7022394788796085,3.0019336576826756,4.447033883595582,0,9.799999999999955,43.799999999999955,14.200000000000045,19.799999999999955,1,0,0.22374429218635894,0.32420091316799204,0.45205479441733853,0,0,0,0.04549231408392185,False,0,0.7878504549180204,831.65,10,13.621728292480265,1010.9399999999999,1,4.999999999999999,,,,
3096,2756.1,2834.0,2750.0,2776.2,1.27725,NSE:AIIL-EQ,2025-07-31,2742.1041867258523,2558.7372746176316,2066.75389799763,1.0716630479913662,1.238046424925899,0.9877185313471121,0.9216689268127771,0.7444542532950184,58.79199428162972,150.99285714285716,0.05438832113783487,0.4126102878467574,-2.198266751215391,3.0257186081694405,0.31190476190475974,-2.9063622912703444,5.0389327360368,-3.6506017238914055,-8.335457490659218,15.451217057603337,22.9828456605599,0,20.09999999999991,84.0,57.80000000000018,6.099999999999909,1,0,0.23928571425722683,0.6880952380133242,0.07261904761040142,0,0,1,0.030257186081694403,False,0,0.5814256669413519,2742.7,4,1.2066853973056697,2896.0,5,4.315251062603566,,,,
3220,113.5,113.5,110.86,112.12,2.58469,NSE:ALEMBICLTD-EQ,2025-07-31,116.08967815572154,114.47833694979778,111.80735916770449,1.0140755120039033,1.0238891053502746,1.0354056203685473,1.021034043433801,0.9972115516206251,36.12311015118789,2.88285714285714,0.02571224708220781,0.37703120567802123,-1.8557422969187591,2.354620049946486,0.4772727272727291,-0.6477591036414521,-1.685918720478877,-4.139106707344177,-5.594436212757283,0.8961265438283328,2.5602121992622173,0,1.3799999999999955,2.6400000000000006,0.0,1.2600000000000051,0,1,0.5227272707472433,0.0,0.47727272546487787,0,0,0,0.02354620049946486,False,0,0.0,110.56,26,1.391366393150198,113.95,23,1.6321798073492673,,,,
3344,7925.0,7999.5,7820.0,7963.5,4.0423,NSE:AMBER-EQ,2025-07-31,7503.974832144646,7142.988448838179,6690.777350813735,1.0505371646464279,1.0675872285556542,0.9422960798825448,0.8969659633123851,0.8401804923480549,62.8890041493776,268.0357142857143,0.03365802904322399,1.195126916784244,-0.9576518873204402,2.2540340302630755,0.7994428969359332,-1.4364778309806603,3.7422867986469024,-0.7616230256794831,-3.3538153691159747,8.67445054820086,11.963003586302873,1,38.5,179.5,36.0,105.0,1,0,0.21448467965378915,0.20055710305289376,0.5849582172376068,0,0,0,0.022540340302630753,False,0,0.9447734489944898,7911.5,1,0.6529792176806681,8115.0,3,1.9024298361273309,,,,
3468,613.0,624.8,589.9,592.7,57.82494,NSE:AMBUJACEM-EQ,2025-07-31,600.1321563075387,581.093142602559,543.0830373486764,1.0327641341966436,1.0699894908142362,1.0125394909862302,0.9804169775646348,0.9162865485889595,53.52828989192629,12.046428571428569,0.02032466436886885,2.4701464391472547,-4.070567289795254,5.888307744221356,0.08022922636103352,-0.7849801731811965,-2.497738052806177,-4.590218718646796,-5.83865975172246,-0.31141679560603885,1.0889820684598828,0,20.299999999999955,34.89999999999998,11.799999999999955,2.800000000000068,0,1,0.5816618909508122,0.33810888242460957,0.0802292263380452,0,0,0,0.058883077442213556,True,1,0.32263693322431813,576.35,11,2.758562510544967,601.75,11,1.5269107474270212,,,,
3592,2640.0,2700.0,2608.1,2645.6,1.12764,NSE:ANANDRATHI-EQ,2025-07-31,2495.0155026392636,2264.2922558932178,1980.3770869837927,1.1018964076503588,1.143364196028869,0.9430811546111519,0.8558709766756947,0.7485549920561659,75.0086455331412,108.42857142857146,0.040984491770702854,0.3609247462749988,-0.9657857303286733,3.4736921681282165,0.4080522306855273,-1.1754136407876055,-0.3054846554253636,-2.3837488079312688,-3.6249515592982036,1.8631976024107804,3.2508054533305955,0,5.599999999999909,91.90000000000009,54.40000000000009,31.90000000000009,1,0,0.060935799775740436,0.5919477692500605,0.3471164308653852,1,0,0,0.03473692168128217,False,0,0.6914657695837831,2153.0,1,18.6195947989114,2730.0,6,3.1902026005443034,,,,
3716,568.0,577.7,557.1,564.6,17.22601,NSE:ANANTRAJ-EQ,2025-07-31,569.4379182653531,554.0544013540411,550.5538894034817,1.0277653545819987,1.006358164056115,1.0085687535695238,0.9813220002728323,0.975122014529723,51.14503816793895,23.23571428571429,0.04115429381104196,0.604004136258317,-2.621593652983776,3.6486007793127917,0.36407766990291224,-2.035184546395301,-1.8525064174252797,-5.558889201251685,-7.7119929839756445,2.1566771493160335,4.801476749206433,0,3.3999999999999773,20.600000000000023,9.700000000000045,7.5,0,1,0.16504854360919843,0.4708737861791891,0.36407766972617545,0,0,0,0.03648600779312792,False,0,0.4184386499335489,558.05,14,1.1601133545873306,580.8,17,2.8692879914983935,,,,
