,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,atr_pct,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,macd_ls_signal,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,range_pct,close_below_1/2,strong_rejection,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
39739,333.5,334.45,323.2,327.35,2.54837,NSE:KIOCL-EQ,2025-07-30,315.53590148977304,300.762088672889,297.54985319005846,1.0491212602029512,1.0107956211316922,0.9639098869398901,0.9187783371708842,0.9089654901177896,63.548266865449136,17.00714285714285,0.05195400292391278,0.43426387044974407,-2.3418854415274364,3.436688559645639,0.36888888888889193,-0.5071599045346029,-6.020326136885614,-11.949384412283983,-15.252525984737938,0.7648710911479614,5.469258457838726,0,6.149999999999977,11.25,0.9499999999999886,4.150000000000034,0,1,0.5466666661807387,0.0844444443693817,0.36888888856099067,0,0,0,0.03436688559645639,False,0,0.6948250925718273,304.7,4,6.919199633419897,335.5,6,2.489689934321056,,,,
39862,553.85,573.0,553.3,561.15,2.25049,NSE:KIRIINDUS-EQ,2025-07-30,568.6775561926405,582.9101129701402,605.1023331389421,0.9755836166489211,0.963324847792801,1.013414516960956,1.0387777117885417,1.0783254622452858,53.759549658222774,16.492857142857158,0.029391173737605202,0.36923158603299894,1.8236254763200788,3.5106477768867586,0.39847715736040634,0.499001996007984,0.12549514078055515,-2.5059974925894397,-4.063716121831941,2.9029833521439072,4.697268822061959,0,7.2999999999999545,19.700000000000045,11.850000000000023,0.5500000000000682,1,0,0.3705583754464139,0.6015228423342521,0.027918781711719753,0,0,0,0.035106477768867585,False,0,0.43612470688237287,540.05,15,3.7601354361578943,570.5,18,1.666221152989401,,,,
39985,1954.6,1954.6,1915.1,1922.2,0.55125,NSE:KIRLOSBROS-EQ,2025-07-30,2064.1171823544823,2013.91074370377,1883.1421912413243,1.0249298231352488,1.0694416773574842,1.0738306015786507,1.0477113430984133,0.9796806738327564,16.298231511254045,74.80000000000004,0.03891374466756843,0.1539804125183436,-0.8357408171688013,2.0549370512953904,0.17974683544304143,0.8357408171687895,-3.191039303773249,-6.51823969108514,-8.46187181233304,0.3817451655186431,2.723876808302549,0,32.399999999999864,39.5,0.0,7.100000000000136,0,1,0.8202531643492995,0.0,0.1797468353975359,0,0,0,0.020549370512953906,True,1,0.07428573877297752,1905.0,8,0.8948080324628054,1933.9,15,0.6086775569659788,,,,
40108,924.6,931.9,913.8,918.15,0.64077,NSE:KIRLOSENG-EQ,2025-07-30,904.5494354510635,873.3222025831283,840.8327632441514,1.0357568292384767,1.0386395972650069,0.9851869906344971,0.9511759544552941,0.9157901903220077,50.01413627367825,30.085714285714307,0.03276775503535839,0.1276697740808661,-0.28779322328409834,1.971355443010404,0.24033149171270812,0.4126846220677746,-0.0993765391576292,-2.2248136735675885,-3.493301097747277,2.1205194527086046,3.541962490552476,0,6.4500000000000455,18.100000000000023,7.2999999999999545,4.350000000000023,0,1,0.3563535909633426,0.40331491690424287,0.2403314915799283,0,0,0,0.01971355443010404,True,1,0.6155485606611927,892.7,11,2.7718782334041205,927.0,19,0.963894788433265,,,,
40231,236.5,251.85,235.0,239.0,4.46367,NSE:KITEX-BE,2025-07-30,265.0753712430791,265.9396816024801,231.60479407678187,0.9967499759562284,1.1482477409958771,1.1091019717283643,1.1127183330647703,0.9690577158024346,16.144096064042714,11.457142857142857,0.04793783622235505,0.7887030850854091,-0.3751563151313071,7.050209205020918,0.2373887240356084,-1.4172571904960423,-4.833957155371511,-9.493934768226858,-12.151505204931427,0.33193498322692977,3.8134277239188337,0,2.5,16.849999999999994,12.849999999999994,1.5,1,0,0.14836795243420303,0.7626112755118033,0.08902077146052183,0,0,1,0.07050209205020919,True,1,0.009515383102256497,179.69,7,24.81589958158996,247.0,6,3.3472803347280333,,,,
40354,212.65,214.14,211.35,211.91,3.34066,NSE:KNRCON-EQ,2025-07-30,218.83210305194575,220.44923913003876,245.63519285041613,0.9926643608094329,0.897466020938967,1.0326652968333054,1.0402965368790467,1.1591486614620174,37.97833935018051,5.050000000000003,0.023830871596432462,0.1894395113707485,-0.28703180877094564,1.3165966683969572,0.2007168458781376,0.06117071334462424,-2.5402422198374888,-4.933615331855743,-6.354376909484376,-0.02324660419825787,1.5977794205821534,0,0.7400000000000091,2.789999999999992,1.4899999999999807,0.5600000000000023,0,1,0.2652329739597425,0.5340501772973058,0.20071684515872237,0,0,0,0.013165966683969573,True,1,0.02787944216750192,211.0,24,0.4294275871832366,225.0,36,6.177150677174273,,,,
40477,113.63,117.87,112.61,115.56,1.00542,NSE:KOKUYOCMLN-EQ,2025-07-30,118.78011951479263,119.22986706682097,116.57233035963222,0.9962278952154138,1.0227973199042184,1.0278653471338925,1.0317572435688904,1.0087602142578074,22.835004557885156,3.2707142857142832,0.028303169658309823,0.3212639051557325,2.0938245428041387,4.55174800969194,0.5608365019011406,0.3887269193391622,1.809595968495072,-1.135030760557008,-2.870595829554528,4.935014932989986,6.963652166347196,1,1.9300000000000068,5.260000000000005,2.3100000000000023,1.019999999999996,1,0,0.3669201513936889,0.4391634972639477,0.19391634944122274,0,0,0,0.045517480096919395,False,0,0.2828186206598567,114.39,10,1.0124610591900327,119.5,12,3.409484250605744,,,,
40600,402.05,426.45,402.05,420.75,3.21431,NSE:KOLTEPATIL-EQ,2025-07-30,447.7092249790363,435.8249311587683,361.7548922709076,1.0272685038661513,1.2047520032773789,1.0640742126655647,1.0358287133898236,0.8597858402160609,20.798569725864112,17.317857142857132,0.041159494100670546,0.9287952087342481,1.3123043582952056,5.799168152109323,0.7663934426229511,-3.19046472429569,-2.3562902739206852,-6.840742062107946,-9.41107185092505,2.5817358430702897,5.890098451575948,0,18.69999999999999,24.399999999999977,5.699999999999989,0.0,1,0,0.7663934423088554,0.23360655728130852,0.0,0,0,0,0.057991681521093234,False,1,0.019306348085756396,353.15,2,16.066547831253718,435.2,1,3.4343434343434316,,,,
40723,1966.1,1980.9,1957.0,1959.7,35.89991,NSE:KOTAKBANK-EQ,2025-07-30,2113.1905110725193,2127.50883274411,2044.8207483659553,0.9932699119969705,1.0404378156101124,1.0783234735278457,1.085629858010976,1.0434356015542967,16.068946344175686,41.157142857142894,0.02100175682866913,0.9430612398342142,-0.6589952856491104,1.2195744246568399,0.1129707112970726,-0.3345668373295552,-4.528137656424076,-8.263548864191304,-10.428662632942403,-0.4756098122506749,2.2046057246678705,0,6.399999999999864,23.90000000000009,14.800000000000182,2.7000000000000455,0,1,0.26778242666619306,0.6192468616655923,0.11297071124980451,0,0,0,0.012195744246568399,True,1,0.0,1953.0,16,0.34188906465275526,1994.9,16,1.7961932948920776,,,,
40846,513.0,521.1,501.0,503.6,2.08275,NSE:KPEL-EQ,2025-07-30,515.2152487973891,500.22002365875835,442.97170669806434,1.0299772588649114,1.1292369604989585,1.0230644336723373,0.9932883710459856,0.8796102198134716,47.913043478260875,24.560714285714294,0.04877028253716103,0.4760897454829135,-2.0424042015172144,3.991262907069107,0.12935323383084676,-0.213966154444665,-2.6834829882895512,-6.520174515474037,-8.742899003975982,1.4816263713588045,4.237846645346261,0,9.399999999999977,20.100000000000023,8.100000000000023,2.6000000000000227,0,1,0.4676616913096194,0.40298507442637627,0.1293532337664919,0,0,0,0.03991262907069107,True,1,0.3574754925836182,491.0,12,2.501985702938845,533.75,10,5.986894360603649,,,,
