symbol,date,close,prediction,probability,confidence
NSE:BANKBETF-EQ,2025-01-30,49.65,1.0,0.58,0.58
NSE:BANKIETF-EQ,2025-01-30,50.06,1.0,0.61,0.61
NSE:BANKINDIA-EQ,2025-01-30,111.23,1.0,0.6,0.6
NSE:BANKNIFTY1-EQ,2025-01-30,506.78,1.0,0.57,0.57
NSE:BANSALWIRE-EQ,2025-01-30,421.45,1.0,0.56,0.56
NSE:BANSWRAS-EQ,2025-01-30,131.27,1.0,0.54,0.54
NSE:BARBEQUE-EQ,2025-01-30,322.9,1.0,0.54,0.54
NSE:BASML-EQ,2025-01-30,40.93,1.0,0.51,0.51
NSE:BATAINDIA-EQ,2025-01-30,1267.2,1.0,0.59,0.59
NSE:BBOX-BE,2025-01-30,527.9,0.0,0.5,0.5
NSE:BBTC-EQ,2025-01-30,2106.45,1.0,0.59,0.59
NSE:BCLIND-EQ,2025-01-30,45.1,1.0,0.58,0.58
NSE:BDL-EQ,2025-01-30,1267.35,0.0,0.5,0.5
NSE:BEARDSELL-EQ,2025-01-30,36.78,0.0,0.5,0.5
NSE:BEL-EQ,2025-01-30,278.75,1.0,0.54,0.54
NSE:BEML-EQ,2025-01-30,3540.6,1.0,0.57,0.57
NSE:BEPL-EQ,2025-01-30,118.13,1.0,0.59,0.59
NSE:BERGEPAINT-EQ,2025-01-30,475.85,1.0,0.53,0.53
NSE:BFSI-EQ,2025-01-30,23.73,1.0,0.57,0.57
NSE:BGRENERGY-BE,2025-01-30,133.73,1.0,0.59,0.59
NSE:BHARATFORG-EQ,2025-01-30,1184.05,1.0,0.6,0.6
NSE:BHARATWIRE-EQ,2025-01-30,187.1,1.0,0.56,0.56
NSE:BHARTIARTL-EQ,2025-01-30,1640.75,1.0,0.62,0.62
NSE:BHARTIHEXA-EQ,2025-01-30,1356.75,1.0,0.51,0.51
NSE:BHEL-EQ,2025-01-30,196.37,1.0,0.6,0.6
NSE:BIGBLOC-EQ,2025-01-30,82.11,1.0,0.56,0.56
NSE:BIKAJI-EQ,2025-01-30,685.4,1.0,0.51,0.51
NSE:BIOCON-EQ,2025-01-30,357.0,1.0,0.57,0.57
NSE:BLBLIMITED-EQ,2025-01-30,20.0,1.0,0.57,0.57
NSE:BLISSGVS-EQ,2025-01-30,156.4,0.0,0.5,0.5
NSE:BLKASHYAP-EQ,2025-01-30,66.87,1.0,0.55,0.55
NSE:BLS-EQ,2025-01-30,420.7,1.0,0.59,0.59
NSE:BLSE-BE,2025-01-30,181.96,1.0,0.55,0.55
NSE:BLUEJET-EQ,2025-01-30,693.2,1.0,0.59,0.59
NSE:BLUESTARCO-EQ,2025-01-30,1798.0,1.0,0.52,0.52
NSE:BODALCHEM-EQ,2025-01-30,61.15,1.0,0.61,0.61
